Domain Code,Domain,Area,Element,Item,Year Code,Year,Unit,Value,Flag Description
QCL,Crops and livestock products,Afghanistan,Production,Raw milk of goats,2024,2024,t,120031.31,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Raw milk of sheep,2024,2024,t,194000,Estimated value
QCL,Crops and livestock products,Afghanistan,Production,Rice,2024,2024,t,654000,Official figure
QCL,Crops and livestock products,Afghanistan,Production,"Seed cotton, unginned",2024,2024,t,120508.05,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Sesame seed,2024,2024,t,28799.25,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Sheep fat, unrendered",2024,2024,t,4767.2,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Shorn wool, greasy, including fleece-washed shorn wool",2024,2024,t,12909.88,Estimated value
QCL,Crops and livestock products,Afghanistan,Production,Silk-worm cocoons suitable for reeling,2024,2024,t,500,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Soya beans,2024,2024,t,7304.9,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Sugar beet,2024,2024,t,6440.82,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Sugar cane,2024,2024,t,53326.43,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Sunflower seed,2024,2024,t,1130.65,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Walnuts, in shell",2024,2024,t,27524.43,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Watermelons,2024,2024,t,1180436.59,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Wheat,2024,2024,t,5200000,Figure from external organization
QCL,Crops and livestock products,Albania,Production,Apples,2024,2024,t,100455.03,Official figure
QCL,Crops and livestock products,Albania,Production,Apricots,2024,2024,t,5938.73,Official figure
QCL,Crops and livestock products,Albania,Production,Barley,2024,2024,t,23791.8,Official figure
QCL,Crops and livestock products,Albania,Production,"Beans, dry",2024,2024,t,24369,Official figure
QCL,Crops and livestock products,Albania,Production,"Broad beans and horse beans, dry",2024,2024,t,208.37,Value imputed by a receiving agency
QCL,Crops and livestock products,Albania,Production,"Broad beans and horse beans, green",2024,2024,t,129.05,Estimated value
QCL,Crops and livestock products,Albania,Production,Cabbages,2024,2024,t,68719.1,Official figure
QCL,Crops and livestock products,Albania,Production,Cantaloupes and other melons,2024,2024,t,68726.8,Official figure
QCL,Crops and livestock products,Albania,Production,Carrots and turnips,2024,2024,t,18622,Official figure
QCL,Crops and livestock products,Albania,Production,"Cattle fat, unrendered",2024,2024,t,1128.13,Value imputed by a receiving agency
QCL,Crops and livestock products,Albania,Production,Cauliflowers and broccoli,2024,2024,t,8444,Official figure
QCL,Crops and livestock products,Albania,Production,Cherries,2024,2024,t,22465.4,Official figure
QCL,Crops and livestock products,Albania,Production,"Chestnuts, in shell",2024,2024,t,5726.1,Official figure
QCL,Crops and livestock products,Albania,Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,2024,t,115750.37,Official figure
QCL,Crops and livestock products,Albania,Production,Cucumbers and gherkins,2024,2024,t,132426.65,Official figure
